00C27AD6-29D7-4811-9585-380940BDC778#appfire#01.1001.1001.1006.#appfire##appfire#Mobilebp.mobilebp.web.com.view.organizationboundedcontext.location.AddressTypeMain#appfire##appfire#1#appfire#0#appfire#Address Type#appfire##appfire#82F5B3C4-4053-495C-BF18-73C358BCD4E0#appfire#1#appfire#1#appfire#\N#appfire#0#appfire#ba9dced8-453e-49a3-b627-d497a1f91b17#appfire#2016-03-29 18:33:17#appfire#ba9dced8-453e-49a3-b627-d497a1f91b17#appfire#2016-03-29 18:33:17#appfire#1#appfire#1#appfire#51000#appfire#0
0B6F426C-73C6-4E09-9879-8DF1C6CACA75#appfire#02.1001.#appfire##appfire##appfire#\N#appfire#1#appfire#0#appfire#App Insight#appfire##appfire#null#appfire#1#appfire#1#appfire#\N#appfire#0#appfire#ba9dced8-453e-49a3-b627-d497a1f91b17#appfire#2016-03-29 18:33:17#appfire#ba9dced8-453e-49a3-b627-d497a1f91b17#appfire#2016-03-29 18:33:17#appfire#1#appfire#1#appfire#51000#appfire#0
0BA2FD0B-C9BE-4769-B757-419C29D93C4B#appfire#01.1001.1003.#appfire##appfire##appfire#\N#appfire#1#appfire#0#appfire#authentication#appfire##appfire#null#appfire#1#appfire#1#appfire#\N#appfire#0#appfire#ba9dced8-453e-49a3-b627-d497a1f91b17#appfire#2016-03-29 18:33:17#appfire#ba9dced8-453e-49a3-b627-d497a1f91b17#appfire#2016-03-29 18:33:17#appfire#1#appfire#1#appfire#51000#appfire#0
0CC26291-AA7B-4E0E-8F0D-C8F7A280E112#appfire#01.1001.1001.1014.#appfire##appfire#Mobilebp.mobilebp.smartdevice.com.view.defaultcontext.defaultdomain.MUI#appfire#{"homeScreen":false}#appfire#1#appfire#0#appfire#MUI#appfire##appfire#5BEC24FD-1909-43A1-9752-0E1DDC9D3321#appfire#1#appfire#2#appfire#\N#appfire#0#appfire#ba9dced8-453e-49a3-b627-d497a1f91b17#appfire#2016-03-29 18:33:27#appfire#ba9dced8-453e-49a3-b627-d497a1f91b17#appfire#2016-03-29 18:33:27#appfire#1#appfire#1#appfire#51000#appfire#0
1122EBB1-8B98-4EB9-8B10-0ECF4480D492#appfire#02.#appfire##appfire##appfire##appfire#1#appfire#1#appfire#App Setup#appfire##appfire#\N#appfire#1#appfire#1#appfire#\N#appfire#0#appfire#ba9dced8-453e-49a3-b627-d497a1f91b17#appfire#2016-03-29 18:33:17#appfire#ba9dced8-453e-49a3-b627-d497a1f91b17#appfire#2016-03-29 18:33:17#appfire#1#appfire#1#appfire#51000#appfire#0
189970AB-9B7C-452B-BC98-E6A4E33C42C0#appfire#01.1001.1001.#appfire##appfire##appfire#\N#appfire#1#appfire#0#appfire#location#appfire##appfire#null#appfire#1#appfire#1#appfire#\N#appfire#0#appfire#ba9dced8-453e-49a3-b627-d497a1f91b17#appfire#2016-03-29 18:33:17#appfire#ba9dced8-453e-49a3-b627-d497a1f91b17#appfire#2016-03-29 18:33:17#appfire#1#appfire#1#appfire#51000#appfire#0
1FBC6774-98BB-4A38-9EEB-6D3214925E42#appfire#02.1004.1003.#appfire##appfire#Mobilebp.view.usermanagement.admin.AdminUserManagement#appfire##appfire#1#appfire#0#appfire#User Management#appfire##appfire#null#appfire#1#appfire#1#appfire#\N#appfire#0#appfire#ba9dced8-453e-49a3-b627-d497a1f91b17#appfire#2016-03-29 18:33:17#appfire#ba9dced8-453e-49a3-b627-d497a1f91b17#appfire#2016-03-29 18:33:17#appfire#1#appfire#1#appfire#51000#appfire#0
231D8C99-6563-4AA3-83C4-0A5E805EA15E#appfire#02.1001.1001.#appfire##appfire#Mobilebp.view.appreportui.ReportView#appfire##appfire#1#appfire#0#appfire#System Memory Usage#appfire##appfire#7140E0FD-A308-4792-AA1A-AA339EEC1A06#appfire#1#appfire#1#appfire#\N#appfire#0#appfire#ba9dced8-453e-49a3-b627-d497a1f91b17#appfire#2016-03-29 18:33:17#appfire#ba9dced8-453e-49a3-b627-d497a1f91b17#appfire#2016-03-29 18:33:17#appfire#1#appfire#1#appfire#51000#appfire#0
24227B80-0DB5-4C0C-BB05-93D30424C4E4#appfire#01.1001.1004.1003.#appfire##appfire#Mobilebp.mobilebp.web.com.view.defaultcontext.defaultdomain.TestEMain#appfire##appfire#1#appfire#0#appfire#TestE#appfire##appfire#0D58E189-224C-4A91-AD67-C119B1C0A6E2#appfire#1#appfire#1#appfire#\N#appfire#0#appfire#ba9dced8-453e-49a3-b627-d497a1f91b17#appfire#2016-03-29 18:33:17#appfire#ba9dced8-453e-49a3-b627-d497a1f91b17#appfire#2016-03-29 18:33:17#appfire#1#appfire#1#appfire#51000#appfire#0
2699FC8F-357E-4709-A692-C4FF183EC370#appfire#01.1001.1004.1009.#appfire##appfire#Mobilebp.mobilebp.web.com.view.defaultcontext.defaultdomain.TestUserMain#appfire##appfire#1#appfire#0#appfire#TestUser#appfire##appfire#4B983671-522F-46E0-8875-582ADD2E1035#appfire#1#appfire#1#appfire#\N#appfire#0#appfire#ba9dced8-453e-49a3-b627-d497a1f91b17#appfire#2016-03-29 18:33:17#appfire#ba9dced8-453e-49a3-b627-d497a1f91b17#appfire#2016-03-29 18:33:17#appfire#1#appfire#1#appfire#51000#appfire#0
2CB9C839-6828-4421-9818-790FAEA070E7#appfire#01.1002.1001.#appfire##appfire#Mobilebp.view.appreportui.ReportView#appfire##appfire#1#appfire#0#appfire#CC Report#appfire##appfire#B101A76D-A7AD-48DE-B531-6F5AA1B25AEB#appfire#1#appfire#1#appfire#\N#appfire#0#appfire#ba9dced8-453e-49a3-b627-d497a1f91b17#appfire#2016-03-29 18:33:17#appfire#ba9dced8-453e-49a3-b627-d497a1f91b17#appfire#2016-03-29 18:33:17#appfire#1#appfire#1#appfire#51000#appfire#0
2D07F11B-C60F-4F14-B733-442EF72CA825#appfire#01.1001.1002.1004.#appfire##appfire#Mobilebp.mobilebp.web.com.view.organizationboundedcontext.contacts.GenderMain#appfire##appfire#1#appfire#0#appfire#Gender#appfire##appfire#2D1E76B1-AF2F-43B1-827A-B25CD53B450F#appfire#1#appfire#1#appfire#\N#appfire#0#appfire#ba9dced8-453e-49a3-b627-d497a1f91b17#appfire#2016-03-29 18:33:17#appfire#ba9dced8-453e-49a3-b627-d497a1f91b17#appfire#2016-03-29 18:33:17#appfire#1#appfire#1#appfire#51000#appfire#0
